jline;jline;0.9.94;The BSD License
joda-time;joda-time;2.2;The Apache Software License, Version 2.0
org.apache.santuario;xmlsec;1.5.1;The Apache Software License, Version 2.0
org.apache.ws.security;wss4j;1.6.5;The Apache Software License, Version 2.0
org.apache.zookeeper;zookeeper;3.4.5;The Apache Software License, Version 2.0
org.codehaus.enunciate;enunciate-core-annotations;1.27;The Apache Software License, Version 2.0
org.codehaus.jackson;jackson-core-asl;1.9.2;The Apache Software License, Version 2.0
org.codehaus.jackson;jackson-jaxrs;1.9.2;The Apache Software License, Version 2.0
org.codehaus.jackson;jackson-jaxrs;1.9.2;GNU Lesser General Public License (LGPL), Version 2.1
org.codehaus.jackson;jackson-mapper-asl;1.9.2;The Apache Software License, Version 2.0
org.codehaus.jackson;jackson-xc;1.9.2;The Apache Software License, Version 2.0
org.codehaus.jackson;jackson-xc;1.9.2;GNU Lesser General Public License (LGPL), Version 2.1
org.codehaus.jettison;jettison;1.1;The Apache Software License, Version 2.0
org.jboss.netty;netty;3.2.2.Final;The Apache Software License, Version 2.0
org.jvnet;mimepull;1.6;CDDL - Version 1.1 / GNU General Public License - Version 2
org.opensaml;opensaml;2.5.1-1;The Apache Software License, Version 2.0
org.opensaml;openws;1.4.2-1;The Apache Software License, Version 2.0
org.opensaml;xmltooling;1.3.2-1;The Apache Software License, Version 2.0
org.slf4j;jcl-over-slf4j;1.7.5;The MIT License
org.slf4j;jul-to-slf4j;1.7.5;The MIT License
org.slf4j;log4j-over-slf4j;1.7.5;Apache Software Licenses
org.slf4j;slf4j-api;1.7.5;The MIT License
org.springframework.security;spring-security-core;3.1.0.RELEASE;The Apache Software License, Version 2.0
org.springframework.security;spring-security-crypto;3.1.0.RELEASE;The Apache Software License, Version 2.0
org.springframework.ws;spring-ws-core;2.1.0.RELEASE;The Apache Software License, Version 2.0
org.springframework.ws;spring-ws-security;2.1.0.RELEASE;The Apache Software License, Version 2.0
org.springframework.ws;spring-xml;2.1.0.RELEASE;The Apache Software License, Version 2.0
org.springframework;spring-aop;3.1.3.RELEASE;The Apache Software License, Version 2.0
org.springframework;spring-asm;3.1.3.RELEASE;The Apache Software License, Version 2.0
