acceleratorfacades;ASF 2.0 License;spring-aop;org.springframework;spring-aop;3.1.1.RELEASE;http://www.springsource.org/spring-framework
acceleratorfacades;ASF 2.0 License;spring-asm;org.springframework;spring-asm;3.1.1.RELEASE;http://www.springsource.org/spring-framework
acceleratorfacades;ASF 2.0 License;spring-beans;org.springframework;spring-beans;3.1.1.RELEASE;http://www.springsource.org/spring-framework
acceleratorfacades;ASF 2.0 License;spring-context;org.springframework;spring-context;3.1.1.RELEASE;http://www.springsource.org/spring-framework
acceleratorfacades;ASF 2.0 License;spring-core;org.springframework;spring-core;3.1.1.RELEASE;http://www.springsource.org/spring-framework
acceleratorfacades;ASF 2.0 License;spring-expression;org.springframework;spring-expression;3.1.1.RELEASE;http://www.springsource.org/spring-framework
acceleratorfacades;ASF 2.0 License;spring-webmvc;org.springframework;spring-webmvc;3.1.1.RELEASE;http://www.springsource.org/spring-framework
acceleratorfacades;Public Domain;AOP alliance;aopalliance;aopalliance;1.0;http://aopalliance.sourceforge.net
acceleratorfacades;The Apache Software License, Version 2.0;Commons Logging;commons-logging;commons-logging;01.01.2001;http://commons.apache.org/logging
acceleratorfacades;The Apache Software License, Version 2.0;Spring Mobile Device Resolution Support;org.springframework.mobile;spring-mobile-device;1.0.1.RELEASE;https://github.com/SpringSource/spring-mobile
acceleratorfacades;The Apache Software License, Version 2.0;spring-context-support;org.springframework;spring-context-support;3.1.1.RELEASE;http://www.springsource.org/spring-framework
acceleratorfacades;The Apache Software License, Version 2.0;spring-web;org.springframework;spring-web;3.1.1.RELEASE;http://www.springsource.org/spring-framework
acceleratorservices/web-inf;ASF 2.0 License;spring-aop;org.springframework;spring-aop;3.1.4.RELEASE;http://www.springsource.org/spring-framework
acceleratorservices/web-inf;ASF 2.0 License;spring-asm;org.springframework;spring-asm;3.1.4.RELEASE;http://www.springsource.org/spring-framework
acceleratorservices/web-inf;ASF 2.0 License;spring-beans;org.springframework;spring-beans;3.1.4.RELEASE;http://www.springsource.org/spring-framework
acceleratorservices/web-inf;ASF 2.0 License;spring-context;org.springframework;spring-context;3.1.4.RELEASE;http://www.springsource.org/spring-framework
acceleratorservices/web-inf;ASF 2.0 License;spring-core;org.springframework;spring-core;3.1.4.RELEASE;http://www.springsource.org/spring-framework
acceleratorservices/web-inf;ASF 2.0 License;spring-expression;org.springframework;spring-expression;3.1.4.RELEASE;http://www.springsource.org/spring-framework
acceleratorservices/web-inf;ASF 2.0 License;spring-webmvc;org.springframework;spring-webmvc;3.1.4.RELEASE;http://www.springsource.org/spring-framework
acceleratorservices/web-inf;CDDL + GPLv2 with classpath exception;JavaServer Pages (TM) TagLib Implementation;org.glassfish.web;jstl-impl;01. Feb;http://jstl.java.net/jstl-impl
acceleratorservices/web-inf;CDDL + GPLv2 with classpath exception;JavaServer Pages(TM) Standard Tag Library;javax.servlet.jsp.jstl;jstl-api;01. Feb;http://jcp.org/en/jsr/detail?id=52
acceleratorservices/web-inf;Public Domain;AOP alliance;aopalliance;aopalliance;1.0;http://aopalliance.sourceforge.net
acceleratorservices/web-inf;Sun Binary Code Licenses;servlet-api;javax.servlet;servlet-api;02. Mai;no url defined
acceleratorservices/web-inf;The Apache Software License, Version 2.0;Commons Logging;commons-logging;commons-logging;01.01.2001;http://commons.apache.org/logging
acceleratorservices/web-inf;The Apache Software License, Version 2.0;spring-context-support;org.springframework;spring-context-support;3.1.4.RELEASE;http://www.springsource.org/spring-framework
acceleratorservices/web-inf;The Apache Software License, Version 2.0;spring-web;org.springframework;spring-web;3.1.4.RELEASE;http://www.springsource.org/spring-framework
acceleratorservices/web-inf;Unknown license;jsp-api;javax.servlet.jsp;jsp-api;02. Jan;no url defined
acceleratorservices;ASF 2.0 License;oro;oro;oro;2.0.8;http://svn.apache.org/repos/asf/jakarta/oro/trunk/LICENSE
acceleratorservices;Apache Software License, Version 1.1;sslext;sslext;sslext;1.; - no url defined
acceleratorservices;Sun Binary Code Licenses;servlet-api;javax.servlet;servlet-api;02. Mrz;no url defined
acceleratorservices;The Apache Software License, Version 2.0;Apache Velocity;org.apache.velocity;velocity;01.06.2002;http://velocity.apache.org/engine/releases/velocity-1.6.2/
acceleratorservices;The Apache Software License, Version 2.0;Collections;commons-collections;commons-collections;03. Feb;http://jakarta.apache.org/commons/collections/
acceleratorservices;The Apache Software License, Version 2.0;Commons Chain;commons-chain;commons-chain;01. Jan;http://jakarta.apache.org/commons/${pom.artifactId.substring(8)}/
acceleratorservices;The Apache Software License, Version 2.0;Commons Lang;commons-lang;commons-lang;02. Apr;http://commons.apache.org/lang/
acceleratorservices;The Apache Software License, Version 2.0;Commons Net;commons-net;commons-net;3.0.1;http://commons.apache.org/net/
acceleratorservices;The Apache Software License, Version 2.0;Digester;commons-digester;commons-digester;01. Aug;http://jakarta.apache.org/commons/digester/
acceleratorservices;The Apache Software License, Version 2.0;Logging;commons-logging;commons-logging;01. Jan;http://jakarta.apache.org/commons/${pom.artifactId.substring(8)}/
acceleratorservices;The Apache Software License, Version 2.0;Struts Core;org.apache.struts;struts-core;01.03.2008;http://struts.apache.org
acceleratorservices;The Apache Software License, Version 2.0;Struts Taglib;org.apache.struts;struts-taglib;01.03.2008;http://struts.apache.org
acceleratorservices;The Apache Software License, Version 2.0;Struts Tiles;org.apache.struts;struts-tiles;01.03.2008;http://struts.apache.org
acceleratorservices;The Apache Software License, Version 2.0;Validator;commons-validator;commons-validator;01.03.2001;http://jakarta.apache.org/commons/${pom.artifactId.substring(8)}/
